Land Rover,46800.0crossover,51,2.2,Other,yes,2013,Range Rover Evoque,full,

Land Rover,35700.0crossover,90,5,Petrol,yes,2012,Range Rover,full,

Land Rover,99000.0crossover,50,4.4,Diesel,yes,2013,Range Rover,full,

Land Rover,92000.0crossover,0,5,Petrol,yes,2015,Range Rover Sport,full,

Land Rover,29500.0crossover,50,3.5,Diesel,yes,2008,Range Rover Sport,full,

Land Rover,0.0crossover,45,3,Petrol,yes,2014,Range Rover Sport,full,

Land Rover,78900.0crossover,0,3,Diesel,yes,2015,Range Rover Sport,full,

Land Rover,102999.0crossover,39,5,Petrol,yes,2014,Range Rover,full,

Land Rover,53500.0crossover,57,3,Diesel,yes,2013,Range Rover Sport,full,

Land Rover,0.0crossover,0,4.4,Diesel,yes,2016,Range Rover,full,

Land Rover,52500.0crossover,69,4.4,Diesel,yes,2011,Range Rover,full,

Land Rover,27500.0crossover,190,3.6,Diesel,yes,2008,Range Rover,full,

Land Rover,39700.0crossover,87,NA,Petrol,yes,2010,Range Rover,full,

